Asset,Horizon,Model,Feature,Rank
GBPUSD,spot,LGB,surp_dgorders,8
GBPUSD,spot,LGB,surp_newhomesales,7
GBPUSD,spot,LGB,surp_consconfid,6
GBPUSD,spot,LGB,surp_avghourlyearnings,5
GBPUSD,spot,LGB,surp_cpi,4
GBPUSD,spot,LGB,surp_tradebal,3
GBPUSD,spot,LGB,surp_indprod,2
GBPUSD,spot,LGB,surp_fedratedec,1
GBPUSD,spot,RF,VIXCLS,15
GBPUSD,spot,RF,surp_consconfid,14
GBPUSD,spot,RF,surp_retsales,13
GBPUSD,spot,RF,surp_nfp,12
GBPUSD,spot,RF,surp_newhomesales,11
GBPUSD,spot,RF,surp_tradebal,10
GBPUSD,spot,RF,surp_ism_pmi,9
GBPUSD,spot,RF,surp_dgorders,8
GBPUSD,spot,RF,surp_indprod,7
GBPUSD,spot,RF,surp_unemp,6
GBPUSD,spot,RF,surp_avghourlyearnings,5
GBPUSD,spot,RF,surp_cpi,4
GBPUSD,spot,RF,surp_corecpi,3
GBPUSD,spot,RF,surp_gdp,2
GBPUSD,spot,RF,surp_fedratedec,1
GC,cum10,LGB,VIXCLS,10
GC,cum10,LGB,surp_tradebal,9
GC,cum10,LGB,surp_ism_pmi,8
GC,cum10,LGB,surp_nfp,7
GC,cum10,LGB,surp_consconfid,6
GC,cum10,LGB,surp_dgorders,5
GC,cum10,LGB,surp_newhomesales,4
GC,cum10,LGB,surp_retsales,3
GC,cum10,LGB,surp_indprod,2
GC,cum10,LGB,surp_unemp,1
GC,cum10,LGB,surp_corecpi,0
GC,cum10,LGB,surp_gdp,0
GC,cum10,LGB,surp_avghourlyearnings,0
GC,cum10,LGB,surp_cpi,0
GC,cum10,LGB,surp_fedratedec,0
GC,cum10,RF,VIXCLS,10
GC,cum10,RF,surp_tradebal,9
GC,cum10,RF,surp_nfp,8
GC,cum10,RF,surp_dgorders,7
GC,cum10,RF,surp_ism_pmi,6
GC,cum10,RF,surp_newhomesales,5
GC,cum10,RF,surp_consconfid,4
GC,cum10,RF,surp_retsales,3
GC,cum10,RF,surp_indprod,2
GC,cum10,RF,surp_avghourlyearnings,1
GC,cum10,RF,surp_unemp,0
GC,cum10,RF,surp_corecpi,0
GC,cum10,RF,surp_gdp,0
GC,cum10,RF,surp_cpi,0
GC,cum10,RF,surp_fedratedec,0
GC,cum15,LGB,VIXCLS,2
GC,cum15,LGB,surp_nfp,1
GC,cum15,LGB,surp_unemp,0
GC,cum15,LGB,surp_corecpi,0
GC,cum15,LGB,surp_gdp,0
GC,cum15,LGB,surp_retsales,0
GC,cum15,LGB,surp_ism_pmi,0
GC,cum15,LGB,surp_dgorders,0
GC,cum15,LGB,surp_newhomesales,0
GC,cum15,LGB,surp_consconfid,0
GC,cum15,LGB,surp_avghourlyearnings,0
GC,cum15,LGB,surp_cpi,0
GC,cum15,LGB,surp_tradebal,0
GC,cum15,LGB,surp_indprod,0
GC,cum15,LGB,surp_fedratedec,0
GC,cum15,RF,VIXCLS,10
GC,cum15,RF,surp_tradebal,9
GC,cum15,RF,surp_retsales,8
GC,cum15,RF,surp_avghourlyearnings,7
GC,cum15,RF,surp_ism_pmi,6
GC,cum15,RF,surp_nfp,5
GC,cum15,RF,surp_dgorders,4
GC,cum15,RF,surp_consconfid,3
GC,cum15,RF,surp_newhomesales,2
GC,cum15,RF,surp_indprod,1
GC,cum15,RF,surp_unemp,0
GC,cum15,RF,surp_corecpi,0
GC,cum15,RF,surp_gdp,0
GC,cum15,RF,surp_cpi,0
GC,cum15,RF,surp_fedratedec,0
GC,cum3,LGB,VIXCLS,10
GC,cum3,LGB,surp_tradebal,9
GC,cum3,LGB,surp_nfp,8
GC,cum3,LGB,surp_ism_pmi,7
GC,cum3,LGB,surp_consconfid,6
GC,cum3,LGB,surp_newhomesales,5
GC,cum3,LGB,surp_retsales,4
GC,cum3,LGB,surp_dgorders,3
GC,cum3,LGB,surp_indprod,2
GC,cum3,LGB,surp_unemp,1
GC,cum3,LGB,surp_corecpi,0
GC,cum3,LGB,surp_gdp,0
GC,cum3,LGB,surp_avghourlyearnings,0
GC,cum3,LGB,surp_cpi,0
GC,cum3,LGB,surp_fedratedec,0
GC,cum3,RF,VIXCLS,10
GC,cum3,RF,surp_nfp,9
GC,cum3,RF,surp_indprod,8
GC,cum3,RF,surp_retsales,7
GC,cum3,RF,surp_newhomesales,6
GC,cum3,RF,surp_consconfid,5
GC,cum3,RF,surp_ism_pmi,4
GC,cum3,RF,surp_cpi,3
GC,cum3,RF,surp_tradebal,2
GC,cum3,RF,surp_dgorders,1
GC,cum3,RF,surp_unemp,0
GC,cum3,RF,surp_corecpi,0
GC,cum3,RF,surp_gdp,0
GC,cum3,RF,surp_avghourlyearnings,0
GC,cum3,RF,surp_fedratedec,0
GC,cum5,LGB,VIXCLS,10
GC,cum5,LGB,surp_tradebal,9
GC,cum5,LGB,surp_nfp,8
GC,cum5,LGB,surp_ism_pmi,7
GC,cum5,LGB,surp_consconfid,6
GC,cum5,LGB,surp_newhomesales,5
GC,cum5,LGB,surp_retsales,4
GC,cum5,LGB,surp_dgorders,3
GC,cum5,LGB,surp_indprod,2
GC,cum5,LGB,surp_unemp,1
GC,cum5,LGB,surp_corecpi,0
GC,cum5,LGB,surp_gdp,0
GC,cum5,LGB,surp_avghourlyearnings,0
GC,cum5,LGB,surp_cpi,0
GC,cum5,LGB,surp_fedratedec,0
GC,cum5,RF,VIXCLS,10
GC,cum5,RF,surp_tradebal,9
GC,cum5,RF,surp_nfp,8
GC,cum5,RF,surp_retsales,7
GC,cum5,RF,surp_indprod,6
GC,cum5,RF,surp_newhomesales,5
GC,cum5,RF,surp_consconfid,4
GC,cum5,RF,surp_dgorders,3
GC,cum5,RF,surp_ism_pmi,2
GC,cum5,RF,surp_unemp,1
GC,cum5,RF,surp_corecpi,0
GC,cum5,RF,surp_gdp,0
GC,cum5,RF,surp_avghourlyearnings,0
GC,cum5,RF,surp_cpi,0
GC,cum5,RF,surp_fedratedec,0
GC,spot,LGB,VIXCLS,15
GC,spot,LGB,surp_consconfid,14
GC,spot,LGB,surp_tradebal,13
GC,spot,LGB,surp_retsales,12
GC,spot,LGB,surp_nfp,11
GC,spot,LGB,surp_ism_pmi,10
GC,spot,LGB,surp_newhomesales,9
GC,spot,LGB,surp_dgorders,8
GC,spot,LGB,surp_indprod,7
GC,spot,LGB,surp_unemp,6
GC,spot,LGB,surp_avghourlyearnings,5
GC,spot,LGB,surp_corecpi,4
GC,spot,LGB,surp_gdp,3
GC,spot,LGB,surp_cpi,2
GC,spot,LGB,surp_fedratedec,1
GC,spot,RF,VIXCLS,15
GC,spot,RF,surp_retsales,14
GC,spot,RF,surp_nfp,13
GC,spot,RF,surp_unemp,12
GC,spot,RF,surp_tradebal,11
GC,spot,RF,surp_ism_pmi,10
GC,spot,RF,surp_newhomesales,9
GC,spot,RF,surp_cpi,8
GC,spot,RF,surp_dgorders,7
GC,spot,RF,surp_consconfid,6
GC,spot,RF,surp_indprod,5
GC,spot,RF,surp_avghourlyearnings,4
GC,spot,RF,surp_corecpi,3
GC,spot,RF,surp_gdp,2
GC,spot,RF,surp_fedratedec,1
GSPC,cum10,LGB,VIXCLS,1
GSPC,cum10,LGB,surp_nfp,0
GSPC,cum10,LGB,surp_unemp,0
GSPC,cum10,LGB,surp_corecpi,0
GSPC,cum10,LGB,surp_gdp,0
GSPC,cum10,LGB,surp_retsales,0
GSPC,cum10,LGB,surp_ism_pmi,0
GSPC,cum10,LGB,surp_dgorders,0
