Method,p,Adj.R2,Cp,BIC,target
Fwd (Cp),7,0.04264822936803958,0.03010115544702785,-10806.867204091806,ret_ZN_cum3
Fwd (CV),2,0.03575963827936912,2.6197530632684902,-10829.044375880949,ret_ZN_cum3
Bwd (Cp),8,0.04341241986813171,0.19623031662149515,-10801.754105838936,ret_ZN_cum3
Bwd (CV),2,0.03575963827936912,2.6197530632684902,-10829.044375880949,ret_ZN_cum3
Ridge,29,0.03377795963553165,31.768037143248648,-10665.908122174013,ret_ZN_cum3
Lasso,18,0.04118325586293259,12.71031219077122,-10739.630271918006,ret_ZN_cum3
PCR,14,0.02333952928227434,28.221221777915844,-10743.722863556979,ret_ZN_cum3
PLS,1,0.04240253433212038,-5.742592634911716,-10842.422307524716,ret_ZN_cum3
Fwd (Cp),7,0.03529167169853176,-2.2167438120927727,-13979.536224183717,ret_ZT_cum3
Fwd (CV),0,0.0,29.483289143034654,-13982.860633141492,ret_ZT_cum3
Bwd (Cp),7,0.03529167169853176,-2.2167438120927727,-13979.536224183717,ret_ZT_cum3
Bwd (CV),0,0.0,29.483289143034654,-13982.860633141492,ret_ZT_cum3
Ridge,29,0.018734291534729053,37.68976285933377,-13830.22900840228,ret_ZT_cum3
Lasso,3,0.01962421901481104,10.906992644671163,-13986.165113411073,ret_ZT_cum3
PCR,14,0.01765813953694051,23.967234158161773,-13918.378159913742,ret_ZT_cum3
PLS,1,0.027353903238487076,0.4369457076343224,-14006.589858467336,ret_ZT_cum3
Fwd (Cp),11,0.06496752585879306,2.777983846816369,-8460.219171761975,ret_GSPC_cum3
Fwd (CV),1,0.022781727414460162,40.50090602994919,-8472.654867935711,ret_GSPC_cum3
Bwd (Cp),13,0.0660082240962434,3.6291960781550188,-8449.483745880903,ret_GSPC_cum3
Bwd (CV),0,1.1102230246251565e-16,65.380059136402,-8453.948360455699,ret_GSPC_cum3
Ridge,29,0.0016813966790687473,90.77953050404426,-8282.864273683083,ret_GSPC_cum3
Lasso,4,0.027164977161597492,38.43917540753068,-8459.550369549734,ret_GSPC_cum3
PCR,10,0.046975812527085936,21.987974011759434,-8445.772451632925,ret_GSPC_cum3
PLS,1,0.04463124279729325,15.73841564100212,-8496.873004286137,ret_GSPC_cum3
Fwd (Cp),9,0.06331428287987695,-3.4220463621672934,-7879.199346302466,ret_RUT_cum3
Fwd (CV),1,0.018346061172478056,39.147868680297734,-7876.744729722062,ret_RUT_cum3
Bwd (Cp),9,0.06331428287987695,-3.4220463621672934,-7879.199346302466,ret_RUT_cum3
Bwd (CV),0,0.0,58.874676603168155,-7862.888570965229,ret_RUT_cum3
Ridge,29,0.016284430298084462,68.43710572801706,-7707.586383637873,ret_RUT_cum3
Lasso,11,0.0517045845295504,11.56292501479652,-7854.074547528289,ret_RUT_cum3
PCR,10,0.03952395068174941,24.172346093930173,-7846.370897422761,ret_RUT_cum3
PLS,1,0.0417566796091291,12.768301845249198,-7902.595572593005,ret_RUT_cum3
Fwd (Cp),10,0.05281874007657361,2.1526930301254197,-9205.581397321,ret_CADUSD_cum5
Fwd (CV),0,0.0,51.238831536651105,-9207.170865570692,ret_CADUSD_cum5
Bwd (Cp),10,0.05281874007657361,2.1526930301254197,-9205.581397321,ret_CADUSD_cum5
Bwd (CV),0,0.0,51.238831536651105,-9207.170865570692,ret_CADUSD_cum5
Ridge,29,-0.027857786602237145,109.2387853167786,-9004.85681571604,ret_CADUSD_cum5
Lasso,0,0.0,51.238831536651105,-9207.170865570692,ret_CADUSD_cum5
PCR,1,0.007057513232864077,44.293167858964125,-9208.781315380296,ret_CADUSD_cum5
PLS,1,0.033045489407203754,15.207635963703297,-9237.18561819516,ret_CADUSD_cum5
Fwd (Cp),8,0.03457977958548053,-1.8829556255375337,-8955.183579214106,ret_EURUSD_cum5
Fwd (CV),0,0.0,27.96797430492029,-8965.266373171578,ret_EURUSD_cum5
