release_date,date,value
1994-10-07,1994-09-01,5.9
1994-11-04,1994-10-01,5.8
1994-12-02,1994-11-01,5.6
1995-01-06,1994-12-01,5.4
1995-02-03,1995-01-01,5.7
1995-03-10,1995-02-01,5.4
1995-04-07,1995-03-01,5.5
1995-05-05,1995-04-01,5.8
1995-06-02,1995-05-01,5.7
1995-07-07,1995-06-01,5.6
1995-08-04,1995-07-01,5.7
1995-09-01,1995-08-01,5.6
1995-10-06,1995-09-01,5.6
1995-11-03,1995-10-01,5.5
1995-12-08,1995-11-01,5.6
1996-01-19,1995-12-01,5.6
1996-02-02,1996-01-01,5.8
1996-03-08,1996-02-01,5.5
1996-04-05,1996-03-01,5.6
1996-05-03,1996-04-01,5.4
1996-06-07,1996-05-01,5.6
1996-07-05,1996-06-01,5.3
1996-08-02,1996-07-01,5.4
1996-09-06,1996-08-01,5.1
1996-10-04,1996-09-01,5.2
1996-11-01,1996-10-01,5.2
1996-12-06,1996-11-01,5.4
1997-01-10,1996-12-01,5.3
1997-02-07,1997-01-01,5.4
1997-03-07,1997-02-01,5.3
1997-04-04,1997-03-01,5.2
1997-05-02,1997-04-01,4.9
1997-06-06,1997-05-01,4.8
1997-07-03,1997-06-01,5.0
1997-08-01,1997-07-01,4.8
1997-09-05,1997-08-01,4.9
1997-10-03,1997-09-01,4.9
1997-11-07,1997-10-01,4.7
1997-12-05,1997-11-01,4.6
1998-01-09,1997-12-01,4.7
1998-02-06,1998-01-01,4.7
1998-03-06,1998-02-01,4.6
1998-04-03,1998-03-01,4.7
1998-05-08,1998-04-01,4.3
1998-06-05,1998-05-01,4.3
1998-07-02,1998-06-01,4.5
1998-08-07,1998-07-01,4.5
1998-09-04,1998-08-01,4.5
1998-10-02,1998-09-01,4.6
1998-11-05,1998-10-01,4.6
1998-12-04,1998-11-01,4.4
1999-01-08,1998-12-01,4.3
1999-02-05,1999-01-01,4.3
1999-03-05,1999-02-01,4.4
1999-04-02,1999-03-01,4.2
1999-05-07,1999-04-01,4.3
1999-06-04,1999-05-01,4.2
1999-07-02,1999-06-01,4.3
1999-08-06,1999-07-01,4.3
1999-09-03,1999-08-01,4.2
1999-10-08,1999-09-01,4.2
1999-11-05,1999-10-01,4.1
1999-12-03,1999-11-01,4.1
2000-01-07,1999-12-01,4.1
2000-02-04,2000-01-01,4.0
2000-03-03,2000-02-01,4.1
2000-04-07,2000-03-01,4.1
2000-05-05,2000-04-01,3.9
2000-06-02,2000-05-01,4.1
2000-07-07,2000-06-01,4.0
2000-08-04,2000-07-01,4.0
2000-09-01,2000-08-01,4.1
2000-10-06,2000-09-01,3.9
2000-11-03,2000-10-01,3.9
2000-12-08,2000-11-01,4.0
2001-01-05,2000-12-01,4.0
2001-02-02,2001-01-01,4.2
2001-03-09,2001-02-01,4.2
2001-04-06,2001-03-01,4.3
2001-05-04,2001-04-01,4.5
2001-06-01,2001-05-01,4.4
2001-07-06,2001-06-01,4.5
2001-08-03,2001-07-01,4.5
2001-09-07,2001-08-01,4.9
2001-10-05,2001-09-01,4.9
2001-11-02,2001-10-01,5.4
2001-12-07,2001-11-01,5.7
2002-01-04,2001-12-01,5.8
2002-02-01,2002-01-01,5.6
2002-03-08,2002-02-01,5.5
2002-04-05,2002-03-01,5.7
2002-05-03,2002-04-01,6.0
2002-06-07,2002-05-01,5.8
2002-07-05,2002-06-01,5.9
2002-08-02,2002-07-01,5.9
2002-09-06,2002-08-01,5.7
2002-10-04,2002-09-01,5.6
2002-11-01,2002-10-01,5.7
2002-12-06,2002-11-01,6.0
2003-01-10,2002-12-01,6.0
2003-02-07,2003-01-01,5.7
2003-03-07,2003-02-01,5.8
2003-04-04,2003-03-01,5.8
2003-05-02,2003-04-01,6.0
2003-06-06,2003-05-01,6.1
2003-07-03,2003-06-01,6.4
2003-08-01,2003-07-01,6.2
2003-09-05,2003-08-01,6.1
2003-10-03,2003-09-01,6.1
2003-11-07,2003-10-01,6.0
2003-12-05,2003-11-01,5.9
2004-01-09,2003-12-01,5.7
2004-02-06,2004-01-01,5.6
2004-03-05,2004-02-01,5.6
2004-04-02,2004-03-01,5.7
2004-05-07,2004-04-01,5.6
2004-06-04,2004-05-01,5.6
2004-07-02,2004-06-01,5.6
