release_date,date,value
2004-06-04,2004-05-01,15.64
2004-07-02,2004-06-01,15.65
2004-08-06,2004-07-01,15.7
2004-09-03,2004-08-01,15.77
2004-10-08,2004-09-01,15.78
2004-11-05,2004-10-01,15.83
2004-12-03,2004-11-01,15.83
2005-01-07,2004-12-01,15.86
2005-02-04,2005-01-01,15.88
2005-03-04,2005-02-01,15.9
2005-04-01,2005-03-01,15.95
2005-05-06,2005-04-01,16.0
2005-06-03,2005-05-01,16.03
2005-07-08,2005-06-01,16.06
2005-08-05,2005-07-01,16.13
2005-09-02,2005-08-01,16.16
2005-10-07,2005-09-01,16.18
2005-11-04,2005-10-01,16.27
2005-12-02,2005-11-01,16.32
2006-01-06,2005-12-01,16.34
2006-02-03,2006-01-01,16.41
2006-03-10,2006-02-01,16.47
2006-04-07,2006-03-01,16.49
2006-05-05,2006-04-01,16.61
2006-06-02,2006-05-01,16.62
2006-07-07,2006-06-01,16.7
2006-08-04,2006-07-01,16.76
2006-09-01,2006-08-01,16.79
2006-10-06,2006-09-01,16.84
2006-11-03,2006-10-01,16.91
2006-12-08,2006-11-01,16.94
2007-01-05,2006-12-01,17.04
2007-02-02,2007-01-01,17.09
2007-03-09,2007-02-01,17.16
2007-04-06,2007-03-01,17.22
2007-05-04,2007-04-01,17.25
2007-06-01,2007-05-01,17.3
2007-07-06,2007-06-01,17.38
2007-08-03,2007-07-01,17.45
2007-09-07,2007-08-01,17.5
2007-10-05,2007-09-01,17.57
2007-11-02,2007-10-01,17.58
2007-12-07,2007-11-01,17.63
2008-01-04,2007-12-01,17.71
2008-02-01,2008-01-01,17.75
2008-03-07,2008-02-01,17.8
2008-04-04,2008-03-01,17.86
2008-05-02,2008-04-01,17.88
2008-06-06,2008-05-01,17.94
2008-07-03,2008-06-01,18.01
2008-08-01,2008-07-01,18.06
2008-09-05,2008-08-01,18.14
2008-10-03,2008-09-01,18.17
2008-11-07,2008-10-01,18.21
2008-12-05,2008-11-01,18.3
2009-01-09,2008-12-01,18.36
2009-02-06,2009-01-01,18.46
2009-03-06,2009-02-01,18.47
2009-04-03,2009-03-01,18.5
2009-05-08,2009-04-01,18.51
2009-06-05,2009-05-01,18.54
2009-07-02,2009-06-01,18.53
2009-08-07,2009-07-01,18.56
2009-09-04,2009-08-01,18.65
2009-10-02,2009-09-01,18.67
2009-11-06,2009-10-01,18.72
2009-12-04,2009-11-01,18.74
2010-01-08,2009-12-01,18.8
2010-02-05,2010-01-01,18.89
2010-03-05,2010-02-01,18.93
2010-04-02,2010-03-01,18.9
2010-05-07,2010-04-01,18.96
2010-06-04,2010-05-01,18.99
2010-07-02,2010-06-01,19.0
2010-08-06,2010-07-01,19.04
2010-09-03,2010-08-01,19.08
2010-10-08,2010-09-01,19.1
2010-11-05,2010-10-01,19.17
2010-12-03,2010-11-01,19.19
2011-01-07,2010-12-01,19.21
2011-02-04,2011-01-01,19.34
2011-03-04,2011-02-01,19.33
