Method,p,Adj.R2,Cp,BIC,target
Lasso,17,0.047180610237952836,19.688307855497442,-9766.758237080943,ret_GBPUSD_cum3
PCR,10,0.02005337398457263,42.92663855897467,-9778.430672422155,ret_GBPUSD_cum3
PLS,1,0.028441075711045594,24.77218211514105,-9841.369312077259,ret_GBPUSD_cum3
Fwd (Cp),7,0.029599937700076184,-3.8936927897625537,-8168.133555000928,ret_GC_cum3
Fwd (CV),0,0.0,21.300822027187678,-8177.758246383121,ret_GC_cum3
Bwd (Cp),7,0.029599937700076184,-3.8936927897625537,-8168.133555000928,ret_GC_cum3
Bwd (CV),0,0.0,21.300822027187678,-8177.758246383121,ret_GC_cum3
Ridge,29,-0.027857823994760222,79.30081670666777,-7975.444157566471,ret_GC_cum3
Lasso,0,0.0,21.300822027187678,-8177.758246383121,ret_GC_cum3
PCR,2,-5.921578952117201e-05,23.32731891089702,-8165.745874408564,ret_GC_cum3
PLS,1,0.026461782888447027,-6.542490504084071,-8200.505590440058,ret_GC_cum3
Fwd (Cp),10,0.0313541839264071,-0.020087186251885214,-9615.18118586621,ret_JPYUSD_cum3
Fwd (CV),0,0.0,24.15080100096884,-9640.77021219533,ret_JPYUSD_cum3
Bwd (Cp),10,0.0313541839264071,-0.020087186251885214,-9615.18118586621,ret_JPYUSD_cum3
Bwd (CV),0,0.0,24.15080100096884,-9640.77021219533,ret_JPYUSD_cum3
Ridge,29,-0.006203079394066391,59.12046915873384,-9461.260856197394,ret_JPYUSD_cum3
Lasso,1,0.003699453743748804,21.088883411202687,-9638.764728637861,ret_JPYUSD_cum3
PCR,4,0.002169168567176416,25.70189199885499,-9619.201763426683,ret_JPYUSD_cum3
PLS,1,0.014107735845425018,9.721694973138028,-9650.012244544918,ret_JPYUSD_cum3
Fwd (Cp),11,0.08204452132734297,1.9899691122295735,-7542.883835597627,ret_XLE_cum3
Fwd (CV),3,0.054454260318428926,25.681188162352782,-7558.9184539095895,ret_XLE_cum3
Bwd (Cp),11,0.08204452132734297,1.9899691122295735,-7542.883835597627,ret_XLE_cum3
Bwd (CV),1,0.024047886332113078,58.79669970967211,-7536.967033919775,ret_XLE_cum3
Ridge,29,0.05472286777280366,50.851141481887,-7404.258388037093,ret_XLE_cum3
Lasso,8,0.05925700848048898,25.075720346232856,-7534.521089256386,ret_XLE_cum3
PCR,11,0.06352789217237065,23.14977336921106,-7521.4950587234325,ret_XLE_cum3
PLS,1,0.04804803172787864,31.111648260211723,-7563.633800075291,ret_XLE_cum3
Fwd (Cp),10,0.061445148001347705,-0.4667827286807551,-7304.2086630063495,ret_XLF_cum3
Fwd (CV),0,0.0,58.7178289812789,-7295.999361135569,ret_XLF_cum3
Bwd (Cp),10,0.061445148001347705,-0.4667827286807551,-7304.2086630063495,ret_XLF_cum3
Bwd (CV),1,0.023573016825345516,33.10502031826991,-7315.573447827216,ret_XLF_cum3
Ridge,29,-0.027857808758487312,116.71780676163871,-7093.6852881947025,ret_XLF_cum3
Lasso,3,0.02421456179624204,34.325372457484036,-7304.330284107945,ret_XLF_cum3
PCR,1,-0.0009235922199066771,60.70446508559621,-7289.035704907633,ret_XLF_cum3
PLS,1,0.04176259328949339,12.611481394742668,-7335.712972328035,ret_XLF_cum3
Fwd (Cp),7,0.053407694897186775,1.222742339072056,-8210.73953447047,ret_XLI_cum3
Fwd (CV),0,0.0,54.163697234404935,-8193.760657207002,ret_XLI_cum3
Bwd (Cp),9,0.0554854073484462,0.9215108362648152,-8201.157151532496,ret_XLI_cum3
Bwd (CV),0,0.0,54.163697234404935,-8193.760657207002,ret_XLI_cum3
Ridge,29,0.025642273200850996,53.70291510460629,-8048.695396219541,ret_XLI_cum3
Lasso,3,0.02147208778990839,32.965587460300185,-8199.085724861277,ret_XLI_cum3
PCR,11,0.0426884007221886,17.163996009357334,-8174.811905213901,ret_XLI_cum3
PLS,1,0.03360770415952097,17.402335803097913,-8224.398300680334,ret_XLI_cum3
Fwd (Cp),8,0.046378424255364536,2.7491005939393744,-8320.553704507674,ret_XLK_cum3
Fwd (CV),0,0.0,46.434088211433846,-8317.466897167613,ret_XLK_cum3
Bwd (Cp),11,0.05013931292747331,1.6148614840888058,-8306.886521360002,ret_XLK_cum3
Bwd (CV),0,0.0,46.434088211433846,-8317.466897167613,ret_XLK_cum3
Ridge,29,-0.0009688541492260949,75.25410017138415,-8143.5433784873285,ret_XLK_cum3
Lasso,1,0.01506574542546002,30.602485898439,-8327.750145810242,ret_XLK_cum3
PCR,4,0.003366291211104988,46.52340210449188,-8297.184125311001,ret_XLK_cum3
PLS,1,0.0371031104914652,6.044230799932848,-8351.985331873293,ret_XLK_cum3
Fwd (Cp),8,0.05497986370688057,-0.19834103233097267,-8897.915606614537,ret_XLV_cum3
Fwd (CV),1,0.016917313198284045,35.42419043141831,-8897.423309796724,ret_XLV_cum3
Bwd (Cp),8,0.05497986370688057,-0.19834103233097267,-8897.915606614537,ret_XLV_cum3
Bwd (CV),0,0.0,53.444197246273006,-8885.124804447609,ret_XLV_cum3
Ridge,29,-0.004002777690277126,85.39393701208655,-8707.96000839367,ret_XLV_cum3
Lasso,3,0.02008968802896005,33.81082673621995,-8888.937901622969,ret_XLV_cum3
PCR,4,0.01267428438117435,43.07514918449283,-8874.891566574543,ret_XLV_cum3
PLS,1,0.028639326087431582,22.27918163100253,-8910.270370593476,ret_XLV_cum3
Fwd (Cp),7,0.04264822936803958,0.03010115544702785,-10806.867204091806,ret_ZN_cum3
Fwd (CV),2,0.03575963827936912,2.6197530632684902,-10829.044375880949,ret_ZN_cum3
Bwd (Cp),8,0.0434124198681316,0.19623031662172252,-10801.754105838936,ret_ZN_cum3
Bwd (CV),1,0.022608381622642004,16.194277436896982,-10820.509752828239,ret_ZN_cum3
Ridge,29,0.03330382440250956,32.27973429527424,-10665.382700207829,ret_ZN_cum3
Lasso,17,0.03765892192838016,15.551716775683417,-10741.659572856008,ret_ZN_cum3
PCR,15,0.030834203766146318,21.01150650473096,-10746.011511688546,ret_ZN_cum3
PLS,1,0.03182378653203055,5.981304791719822,-10830.65565708097,ret_ZN_cum3
Fwd (Cp),7,0.03529167169853176,-2.2167438120927727,-13979.536224183717,ret_ZT_cum3
Fwd (CV),0,0.0,29.483289143034654,-13982.860633141492,ret_ZT_cum3
Bwd (Cp),7,0.03529167169853176,-2.2167438120927727,-13979.536224183717,ret_ZT_cum3
Bwd (CV),0,0.0,29.483289143034654,-13982.860633141492,ret_ZT_cum3
Ridge,29,0.013191715644391477,43.61317641177402,-13824.19659855001,ret_ZT_cum3
Lasso,1,0.008556972057746082,21.06576319330884,-13986.089640126796,ret_ZT_cum3
PCR,5,0.016288590235919442,16.541056437304178,-13970.584015355736,ret_ZT_cum3
PLS,1,0.025837911715995365,2.100680714514283,-14004.921869539365,ret_ZT_cum3
Fwd (Cp),11,0.06493325301926145,2.816462587800288,-8460.179915865037,ret_GSPC_cum3
Fwd (CV),1,0.022779500980407152,40.503429291947214,-8472.652427837915,ret_GSPC_cum3
Bwd (Cp),13,0.0660095646258555,3.627693883525126,-8449.4852830553,ret_GSPC_cum3
Bwd (CV),0,1.1102230246251565e-16,65.380059136402,-8453.948360455699,ret_GSPC_cum3
Ridge,29,0.004604833718826029,87.55312254329169,-8286.005149130026,ret_GSPC_cum3
Lasso,3,0.023996408409013625,41.05482780068019,-8462.039869971877,ret_GSPC_cum3
PCR,11,0.0488128648453755,20.91511591163612,-8441.873412959927,ret_GSPC_cum3
PLS,1,0.037376062529260845,23.96085575051552,-8488.7704341876,ret_GSPC_cum3
Fwd (Cp),9,0.06340028915095686,-3.518234733369127,-7879.297689795686,ret_RUT_cum3
Fwd (CV),1,0.01837533942580305,39.1148773416669,-7876.7766732366745,ret_RUT_cum3
Bwd (Cp),9,0.06340028915095686,-3.518234733369127,-7879.297689795686,ret_RUT_cum3
Bwd (CV),0,0.0,58.874676603168155,-7862.888570965229,ret_RUT_cum3
Ridge,29,0.01198982230426826,73.14960532227087,-7702.92089459508,ret_RUT_cum3
Lasso,10,0.05307546132965235,9.030785317428126,-7861.589422785232,ret_RUT_cum3
PCR,11,0.041219211246171006,23.267534392476364,-7842.297411490098,ret_RUT_cum3
PLS,1,0.03395398813561934,21.560535240351328,-7893.91005090143,ret_RUT_cum3
Fwd (Cp),10,0.05285244997600147,2.1152828183057863,-9205.61951457087,ret_CADUSD_cum5
Fwd (CV),0,0.0,51.238831536651105,-9207.170865570692,ret_CADUSD_cum5
Bwd (Cp),10,0.05285244997600147,2.1152828183057863,-9205.61951457087,ret_CADUSD_cum5
Bwd (CV),0,0.0,51.238831536651105,-9207.170865570692,ret_CADUSD_cum5
Ridge,29,-0.027857823169493034,109.23882517059769,-9004.85677761395,ret_CADUSD_cum5
Lasso,0,0.0,51.238831536651105,-9207.170865570692,ret_CADUSD_cum5
PCR,2,0.007248648620710285,45.03988749449104,-9203.013487940774,ret_CADUSD_cum5
PLS,1,0.02426728402455791,25.03213214329412,-9227.506734407549,ret_CADUSD_cum5
Fwd (Cp),10,0.03593116049810596,-1.331027592129658,-8944.749953973402,ret_EURUSD_cum5
Fwd (CV),0,0.0,27.967974304920062,-8965.266373171578,ret_EURUSD_cum5
Bwd (Cp),10,0.03593116049810596,-1.331027592129658,-8944.749953973402,ret_EURUSD_cum5
Bwd (CV),0,0.0,27.967974304920062,-8965.266373171578,ret_EURUSD_cum5
Ridge,29,-0.027857823946496607,85.96796890035671,-8762.952284405217,ret_EURUSD_cum5
Lasso,0,0.0,27.967974304920062,-8965.266373171578,ret_EURUSD_cum5
PCR,1,-0.0002712216074316487,29.240013950509137,-8959.000988741951,ret_EURUSD_cum5
PLS,1,0.021678578497377088,5.184289209734743,-8982.764546584945,ret_EURUSD_cum5
Fwd (Cp),8,0.06382554709020183,1.3411089567821364,-9275.8909537331,ret_GBPUSD_cum5
Fwd (CV),0,0.0,65.70669014789632,-9253.028044426097,ret_GBPUSD_cum5
Bwd (Cp),10,0.06751967030583528,-0.7970386472882183,-9268.19161023594,ret_GBPUSD_cum5
Bwd (CV),0,0.0,65.70669014789632,-9253.028044426097,ret_GBPUSD_cum5
Ridge,29,0.055464399514189466,31.72286954881156,-9141.25496146175,ret_GBPUSD_cum5
Lasso,5,0.042246221757375135,22.69125697751656,-9269.391940266396,ret_GBPUSD_cum5
PCR,13,0.05014183625542801,21.715520223212934,-9230.522392890929,ret_GBPUSD_cum5
PLS,3,0.07378398040276823,-14.963168790284271,-9317.195803437398,ret_GBPUSD_cum5
Fwd (Cp),5,0.031569464971112016,-6.879117789321754,-7609.715935772768,ret_GC_cum5
Fwd (CV),0,0.0,22.519090563798272,-7605.225175385337,ret_GC_cum5
Bwd (Cp),5,0.031569464971112016,-6.879117789321754,-7609.715935772768,ret_GC_cum5
Bwd (CV),0,0.0,22.519090563798272,-7605.225175385337,ret_GC_cum5
Ridge,29,-0.02785781592638048,80.51907666923148,-7402.91109497572,ret_GC_cum5
Lasso,0,0.0,22.519090563798272,-7605.225175385337,ret_GC_cum5
PCR,2,0.0136752674730507,9.579953038961094,-7608.02350101518,ret_GC_cum5
PLS,1,0.023908474264628943,-2.5731875171363754,-7625.167273872383,ret_GC_cum5
Fwd (Cp),6,0.015707939347947453,-0.022421139865173245,-8987.44258105846,ret_JPYUSD_cum5
Fwd (CV),0,0.0,10.900998121200928,-9006.321428515228,ret_JPYUSD_cum5
Bwd (Cp),6,0.015707939347947453,-0.022421139865173245,-8987.44258105846,ret_JPYUSD_cum5
Bwd (CV),0,0.0,10.900998121200928,-9006.321428515228,ret_JPYUSD_cum5
Ridge,29,-0.02174193279400738,62.47543785181438,-8810.3989670346,ret_JPYUSD_cum5
Lasso,1,0.0006827976258444446,11.15508013000067,-9001.078009070108,ret_JPYUSD_cum5
PCR,1,0.005074021380034099,6.417425071807656,-9005.794593573488,ret_JPYUSD_cum5
PLS,1,0.01204641614849511,-1.1050340857336778,-9013.326534206937,ret_JPYUSD_cum5
Fwd (Cp),8,0.03923072850761333,2.802976945642058,-6975.705505145915,ret_XLE_cum5
Fwd (CV),1,0.01474849430310432,22.84333712843727,-6990.554578197715,ret_XLE_cum5
Bwd (Cp),8,0.03923072850761333,2.802976945642058,-6975.705505145915,ret_XLE_cum5
Bwd (CV),1,0.01474849430310432,22.84333712843727,-6990.554578197715,ret_XLE_cum5
Ridge,29,-0.027857819424182306,96.19224342577263,-6778.302163185096,ret_XLE_cum5
Lasso,3,0.010935735239270383,29.013962614278398,-6974.47090798939,ret_XLE_cum5
PCR,7,0.005997126451896095,38.35240705901765,-6945.253631165544,ret_XLE_cum5
PLS,2,0.04621482401899102,-10.950317220715533,-7019.343602685121,ret_XLE_cum5
Fwd (Cp),10,0.0754627958652847,3.652267124903574,-6671.983375281551,ret_XLF_cum5
Fwd (CV),0,0.0,80.3133474111687,-6647.657656502204,ret_XLF_cum5
Bwd (Cp),10,0.07582016859771701,3.2453725020359343,-6672.397442111515,ret_XLF_cum5
Bwd (CV),1,0.024853415954486757,52.70155576822776,-6668.637078546924,ret_XLF_cum5
Ridge,29,0.039725486919785946,62.74413456017464,-6518.185424532435,ret_XLF_cum5
Lasso,2,0.013879494056891484,66.24302700143517,-6650.677764382635,ret_XLF_cum5
PCR,11,0.0671361232754889,14.13077217065711,-6656.415296240607,ret_XLF_cum5
PLS,1,0.047231451769516264,27.006217316469247,-6693.501194612493,ret_XLF_cum5
Fwd (Cp),7,0.051089310419608513,4.039394304385496,-7592.381952590404,ret_XLI_cum5
Fwd (CV),0,0.0,54.4074237766456,-7578.02295091733,ret_XLI_cum5
Bwd (Cp),9,0.05385060232961836,2.9708822829306882,-7583.567316445238,ret_XLI_cum5
Bwd (CV),0,0.0,54.4074237766456,-7578.02295091733,ret_XLI_cum5
Ridge,29,0.03277036298512925,46.14323912410032,-7440.821583772524,ret_XLI_cum5
Lasso,7,0.029125685883658048,28.55207382280014,-7567.874970594985,ret_XLI_cum5
PCR,16,0.03618036876905539,29.57129333407829,-7522.004815193147,ret_XLI_cum5
PLS,2,0.05621445924057755,-6.726103381065059,-7628.038115944051,ret_XLI_cum5
Fwd (Cp),11,0.045464957209869206,2.577771480431693,-7768.643669824704,ret_XLK_cum5
Fwd (CV),3,0.0275051664285495,14.403816754440186,-7796.430333249525,ret_XLK_cum5
Bwd (Cp),12,0.04634417177684036,2.6208240041128192,-7763.666075100711,ret_XLK_cum5
Bwd (CV),1,0.020776908641816916,19.891366070160075,-7800.993154584073,ret_XLK_cum5
Ridge,29,-0.010125316086247116,80.82434226018813,-7600.8055546288415,ret_XLK_cum5
Lasso,2,0.012006978919615996,30.599731264072716,-7785.469959627611,ret_XLK_cum5
PCR,4,0.0017513429267084213,43.89937220843581,-7762.464794678898,ret_XLK_cum5
PLS,1,0.02300696711449557,17.416106529022954,-7803.435005082354,ret_XLK_cum5
Fwd (Cp),8,0.033344298454898946,-4.419967199258053,-8198.951160385157,ret_XLV_cum5
Fwd (CV),1,0.013610919630824614,10.038458035942085,-8219.106137380755,ret_XLV_cum5
Bwd (Cp),8,0.033344298454898946,-4.419967199258053,-8198.951160385157,ret_XLV_cum5
Bwd (CV),0,0.0,23.921646332230694,-8210.403673261197,ret_XLV_cum5
Ridge,29,-0.023149930453749246,76.91573588794745,-8013.006350680093,ret_XLV_cum5
