Method,p,Adj.R2,Cp,BIC,target
Fwd (CV),0,0.0,120.4062736244257,-9240.942914976551,ret_RUT
Bwd (Cp),11,0.10054008346703713,6.648171657156581,-9293.739660895406,ret_RUT
Bwd (CV),0,0.0,120.4062736244257,-9240.942914976551,ret_RUT
Ridge,27,0.03145896924318692,106.41928562332646,-9114.552012499575,ret_RUT
Lasso,2,0.03931363484375949,73.47623027919008,-9273.939448334322,ret_RUT
PCR,1,0.007371691369921551,112.15674321351389,-9243.229566719234,ret_RUT
PLS,1,0.07400508089564517,29.511360118420725,-9321.264068209297,ret_RUT
Fwd (Cp),10,0.05345023274211924,3.9024514832128716,-9683.974431283807,ret_CADUSD_cum5
Fwd (CV),0,0.0,56.79187441745171,-9682.469906244165,ret_CADUSD_cum5
Bwd (Cp),10,0.05345023274211924,3.9024514832128716,-9683.974431283807,ret_CADUSD_cum5
Bwd (CV),0,0.0,56.79187441745171,-9682.469906244165,ret_CADUSD_cum5
Ridge,27,-0.017029057587575114,102.02332734405309,-9501.220318677031,ret_CADUSD_cum5
Lasso,3,0.005642273496288097,53.01504291851711,-9670.759540770558,ret_CADUSD_cum5
PCR,3,0.013471169859439969,43.81888696992905,-9679.63626958987,ret_CADUSD_cum5
PLS,1,0.031981374816967056,20.108317307837524,-9712.949421822186,ret_CADUSD_cum5
Fwd (Cp),9,0.03761396518712257,0.8148696621999534,-9469.845601772697,ret_EURUSD_cum5
Fwd (CV),0,0.0,35.23103008494468,-9480.95968905504,ret_EURUSD_cum5
Bwd (Cp),9,0.03761396518712257,0.8148696621999534,-9469.845601772697,ret_EURUSD_cum5
Bwd (CV),0,0.0,35.23103008494468,-9480.95968905504,ret_EURUSD_cum5
Ridge,27,-0.01291335502319324,75.9788126492549,-9304.263866446261,ret_EURUSD_cum5
Lasso,0,0.0,35.23103008494468,-9480.95968905504,ret_EURUSD_cum5
PCR,1,0.005369732088839285,29.997403838036234,-9480.983725293405,ret_EURUSD_cum5
PLS,1,0.027478635276506846,4.457187353687914,-9506.227680412785,ret_EURUSD_cum5
Fwd (Cp),8,0.06357368907148897,0.9232122708424413,-9735.777547163783,ret_GBPUSD_cum5
Fwd (CV),0,0.0,68.48517059512642,-9710.168173703029,ret_GBPUSD_cum5
Bwd (Cp),10,0.06634988557963994,-0.3351000198422298,-9727.08227043376,ret_GBPUSD_cum5
Bwd (CV),0,0.0,68.48517059512642,-9710.168173703029,ret_GBPUSD_cum5
Ridge,27,0.022325533098255135,67.94435085007831,-9573.236892628342,ret_GBPUSD_cum5
Lasso,3,0.021940528445285046,45.276576311940744,-9717.017124087375,ret_GBPUSD_cum5
PCR,2,0.02663375436912463,38.74089171486003,-9728.439451174427,ret_GBPUSD_cum5
PLS,2,0.06933127057819566,-11.956639331634733,-9778.81389405384,ret_GBPUSD_cum5
Fwd (Cp),7,0.03508842658207656,-4.931029175689218,-8089.524576008585,ret_GC_cum5
Fwd (CV),0,0.0,28.31546063537553,-8091.550473109078,ret_GC_cum5
Bwd (Cp),7,0.03508842658207656,-4.931029175689218,-8089.524576008585,ret_GC_cum5
Bwd (CV),0,0.0,28.31546063537553,-8091.550473109078,ret_GC_cum5
Ridge,27,-0.024657451671469044,82.31536801433572,-7901.909071831474,ret_GC_cum5
Lasso,0,0.0,28.31546063537553,-8091.550473109078,ret_GC_cum5
PCR,2,0.014364373298643485,13.787001817660894,-8095.754693983622,ret_GC_cum5
PLS,1,0.026557029678514033,-1.2040859236890356,-8115.75476237806,ret_GC_cum5
Fwd (Cp),6,0.014862969756600286,-0.5128432797923779,-9468.513285613673,ret_JPYUSD_cum5
Fwd (CV),0,0.0,10.260658036905397,-9487.817979456817,ret_JPYUSD_cum5
Bwd (Cp),6,0.014862969756600286,-0.5128432797923779,-9468.513285613673,ret_JPYUSD_cum5
Bwd (CV),0,0.0,10.260658036905397,-9487.817979456817,ret_JPYUSD_cum5
Ridge,27,-0.02465751049423881,64.26063181342784,-9298.176513710867,ret_JPYUSD_cum5
Lasso,0,0.0,10.260658036905397,-9487.817979456817,ret_JPYUSD_cum5
PCR,1,0.00516147685670465,5.418632703800995,-9487.606907079662,ret_JPYUSD_cum5
PLS,3,0.027733838863947202,-18.0544156465171,-9501.338540597893,ret_JPYUSD_cum5
Fwd (Cp),7,0.03891113816546554,2.6634998173308304,-7401.616335597541,ret_XLE_cum5
Fwd (CV),0,-2.220446049250313e-16,40.83845372442306,-7399.184382464207,ret_XLE_cum5
Bwd (Cp),9,0.04062461661153338,2.6982557315238864,-7391.5889050192,ret_XLE_cum5
Bwd (CV),0,-2.220446049250313e-16,40.83845372442306,-7399.184382464207,ret_XLE_cum5
Ridge,27,0.008968718805739462,56.71032550100222,-7247.014732102006,ret_XLE_cum5
Lasso,5,0.015461771853506612,27.77689324341759,-7386.580433504111,ret_XLE_cum5
PCR,1,0.0007550973729480992,40.926427825323344,-7394.010255732918,ret_XLE_cum5
PLS,1,0.032671657821574884,3.8775903958628533,-7430.464982147686,ret_XLE_cum5
Fwd (Cp),10,0.07659695748954798,6.570263565588903,-7069.282262126842,ret_XLF_cum5
Fwd (CV),0,0.0,89.23039383546029,-7039.974789896907,ret_XLF_cum5
Bwd (Cp),11,0.077659791358475,6.300583817704592,-7064.562163373229,ret_XLF_cum5
Bwd (CV),0,0.0,89.23039383546029,-7039.974789896907,ret_XLF_cum5
Ridge,27,0.04405809380211567,62.06987062009489,-6928.288116543315,ret_XLF_cum5
Lasso,0,0.0,89.23039383546029,-7039.974789896907,ret_XLF_cum5
PCR,1,-0.0006233450685688702,90.90547590576466,-7033.252570076234,ret_XLF_cum5
