model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades,net_cum_return,net_ann_return,net_ann_excess_ret,net_ann_vol,net_sharpe,net_max_drawdown,net_oos_r2,net_hit_rate,net_n_trades
Fwd (CV),ret_XLE_cum3,3,long,0.1066,0.0198,0.0068,0.1878,0.0363,-0.3365,-0.003178,0.5425,247,-0.2459,-0.0532,-0.0663,0.1879,-0.3526,-0.5053,-0.003178,0.5425,247
Fwd (CV),ret_XLE_cum3,3,short,-0.0402,-0.0079,-0.0209,0.1065,-0.1966,-0.221,-0.003178,0.4483,58,-0.1454,-0.03,-0.043,0.1067,-0.4032,-0.2879,-0.003178,0.4483,58
Bwd (CV),ret_XLE_cum5,5,full,0.7269,0.1117,0.0987,0.2188,0.4511,-0.245,0.003492,0.5293,410,0.1338,0.0246,0.0116,0.2186,0.0532,-0.3237,0.003492,0.5293,410
Bwd (CV),ret_XLE_cum5,5,long,1.0872,0.1533,0.1403,0.2251,0.6233,-0.2438,0.003492,0.5505,376,0.4012,0.0676,0.0546,0.2249,0.2426,-0.3837,0.003492,0.5505,376
Bwd (CV),ret_XLE_cum5,5,short,-0.1662,-0.0346,-0.0476,0.1131,-0.4214,-0.3306,0.003492,0.2941,34,-0.2122,-0.0452,-0.0582,0.1134,-0.5134,-0.3535,0.003492,0.2941,34
PCR,ret_XLF,1,full,-0.0441,-0.0087,-0.0217,0.018,-1.2042,-0.0512,-0.000456,0.3333,6,-0.0556,-0.011,-0.024,0.0191,-1.26,-0.0556,-0.000456,0.3333,6
PCR,ret_XLF,1,long,-0.0365,-0.0072,-0.0202,0.0161,-1.2562,-0.0365,-0.000456,0.0,1,-0.0385,-0.0076,-0.0206,0.017,-1.2145,-0.0385,-0.000456,0.0,1
PCR,ret_XLF,1,short,-0.0078,-0.0015,-0.0145,0.0082,-1.781,-0.0153,-0.000456,0.4,5,-0.0177,-0.0035,-0.0165,0.0087,-1.8845,-0.0177,-0.000456,0.4,5
Ridge,ret_XLF_cum15,15,full,-0.0017,-0.0003,-0.0134,0.1531,-0.0872,-0.2806,-0.017375,0.5,196,-0.1329,-0.0273,-0.0403,0.1532,-0.263,-0.3205,-0.017375,0.5,196
Ridge,ret_XLF_cum15,15,long,0.5727,0.0917,0.0787,0.1155,0.6815,-0.1803,-0.017375,0.6071,112,0.436,0.0727,0.0597,0.1154,0.5171,-0.1831,-0.017375,0.6071,112
Ridge,ret_XLF_cum15,15,short,-0.3255,-0.0735,-0.0865,0.1346,-0.6428,-0.3674,-0.017375,0.3571,84,-0.3642,-0.084,-0.0971,0.1347,-0.7206,-0.4022,-0.017375,0.3571,84
Bwd (CV),ret_XLF_cum3,3,full,0.5026,0.0821,0.0691,0.161,0.4292,-0.3508,-0.008644,0.5597,486,-0.2375,-0.0512,-0.0642,0.1611,-0.3986,-0.5038,-0.008644,0.5597,486
Bwd (CV),ret_XLF_cum3,3,long,0.6729,0.1049,0.0919,0.1627,0.5645,-0.2941,-0.008644,0.5626,471,-0.1411,-0.0291,-0.0421,0.1628,-0.2585,-0.4609,-0.008644,0.5626,471
Bwd (CV),ret_XLF_cum3,3,short,-0.1282,-0.0262,-0.0393,0.033,-1.1879,-0.1351,-0.008644,0.4667,15,-0.154,-0.0319,-0.0449,0.0335,-1.3414,-0.154,-0.008644,0.4667,15
Fwd (CV),ret_XLK_cum5,5,full,1.8599,0.2259,0.2129,0.2209,0.9638,-0.263,-0.001359,0.5817,471,0.7752,0.1177,0.1047,0.2212,0.4732,-0.3143,-0.001359,0.5817,471
Fwd (CV),ret_XLK_cum5,5,long,1.5871,0.2023,0.1893,0.2344,0.8078,-0.2971,-0.001359,0.5856,444,0.6174,0.0977,0.0847,0.2347,0.3608,-0.346,-0.001359,0.5856,444
Fwd (CV),ret_XLK_cum5,5,short,0.1049,0.0195,0.0065,0.0862,0.0755,-0.1091,-0.001359,0.5185,27,0.0478,0.0091,-0.0039,0.0864,-0.0455,-0.1163,-0.001359,0.5185,27
RF,ret_XLV,1,full,0.0744,0.014,0.001,0.0614,0.0161,-0.1259,0.004696,0.4449,236,-0.3301,-0.0747,-0.0877,0.0622,-1.4105,-0.338,0.004696,0.4449,236
RF,ret_XLV,1,long,0.0183,0.0035,-0.0095,0.0377,-0.2523,-0.0869,0.004696,0.4507,71,-0.1166,-0.0238,-0.0368,0.0381,-0.9641,-0.1616,0.004696,0.4507,71
RF,ret_XLV,1,short,0.0551,0.0105,-0.0026,0.0485,-0.0528,-0.0844,0.004696,0.4424,165,-0.2416,-0.0522,-0.0652,0.0492,-1.3246,-0.245,0.004696,0.4424,165
Fwd (CV),ret_XLV_cum3,3,full,0.276,0.0484,0.0354,0.0978,0.3615,-0.1877,0.001584,0.5113,309,-0.1827,-0.0383,-0.0514,0.0979,-0.5247,-0.3102,0.001584,0.5113,309
