date,value,realtime_start
2012-11-01,231.254,2012-12-14
2012-12-01,231.475,2013-01-16
2013-01-01,232.108,2013-02-21
2013-02-01,232.512,2013-03-15
2013-03-01,232.758,2013-04-16
2013-04-01,232.879,2013-05-16
2013-05-01,233.267,2013-06-18
2013-06-01,233.643,2013-07-16
2013-07-01,234.004,2013-08-15
2013-08-01,234.302,2013-09-17
2013-09-01,234.589,2013-10-30
2013-10-01,234.877,2013-11-20
2013-11-01,235.24,2013-12-17
2013-12-01,235.496,2014-01-16
2014-01-01,235.843,2014-02-20
2014-02-01,236.122,2014-03-18
2014-03-01,236.604,2014-04-15
2014-04-01,237.163,2014-05-15
2014-05-01,237.776,2014-06-17
2014-06-01,238.083,2014-07-22
2014-07-01,238.311,2014-08-19
2014-08-01,238.345,2014-09-17
2014-09-01,238.677,2014-10-22
2014-10-01,239.162,2014-11-20
2014-11-01,239.332,2014-12-17
2014-12-01,239.339,2015-01-16
2015-01-01,239.871,2015-02-26
2015-02-01,240.247,2015-03-24
2015-03-01,240.793,2015-04-17
2015-04-01,241.409,2015-05-22
2015-05-01,241.76,2015-06-18
2015-06-01,242.193,2015-07-17
2015-07-01,242.513,2015-08-19
2015-08-01,242.693,2015-09-16
2015-09-01,243.206,2015-10-15
2015-10-01,243.698,2015-11-17
2015-11-01,244.135,2015-12-15
2015-12-01,244.446,2016-01-20
2016-01-01,245.232,2016-02-19
2016-02-01,245.925,2016-03-16
2016-03-01,246.095,2016-04-14
2016-04-01,246.574,2016-05-17
2016-05-01,247.074,2016-06-16
2016-06-01,247.495,2016-07-15
2016-07-01,247.713,2016-08-16
2016-08-01,248.338,2016-09-16
2016-09-01,248.611,2016-10-18
2016-10-01,248.981,2016-11-17
2016-11-01,249.357,2016-12-15
2016-12-01,249.93,2017-01-18
2017-01-01,250.783,2017-02-15
2017-02-01,251.299,2017-03-15
2017-03-01,250.993,2017-04-14
2017-04-01,251.172,2017-05-12
2017-05-01,251.329,2017-06-14
2017-06-01,251.627,2017-07-14
2017-07-01,251.914,2017-08-11
2017-08-01,252.54,2017-09-14
2017-09-01,252.86,2017-10-13
